"Date","Price","Open","High","Low","Vol.","Change %"
"05/05/2026","2,250.00","2,250.00","2,270.00","2,240.00","24.23M","-1.10%"
"05/04/2026","2,275.00","2,200.00","2,285.00","2,195.00","41.38M","6.56%"
"04/30/2026","2,135.00","2,205.00","2,215.00","2,135.00","54.34M","-2.06%"
"04/29/2026","2,180.00","2,175.00","2,210.00","2,165.00","47.39M","-1.58%"
"04/28/2026","2,215.00","2,245.00","2,280.00","2,215.00","53.04M","-2.21%"
"04/27/2026","2,265.00","2,280.00","2,330.00","2,265.00","76.94M","3.66%"
"04/24/2026","2,185.00","2,110.00","2,190.00","2,105.00","49.49M","5.05%"
"04/23/2026","2,080.00","2,090.00","2,135.00","2,055.00","52.35M","1.46%"
"04/22/2026","2,050.00","2,045.00","2,070.00","2,040.00","26.44M","0.00%"
"04/21/2026","2,050.00","2,050.00","2,075.00","2,045.00","27.25M","1.23%"
"04/20/2026","2,025.00","2,030.00","2,055.00","2,025.00","27.17M","-0.25%"
"04/17/2026","2,030.00","2,055.00","2,060.00","2,030.00","44.16M","-2.64%"
"04/16/2026","2,085.00","2,080.00","2,090.00","2,055.00","34.59M","0.24%"
"04/15/2026","2,080.00","2,065.00","2,100.00","2,060.00","43.61M","1.22%"
"04/14/2026","2,055.00","2,015.00","2,055.00","2,010.00","44.84M","3.27%"
"04/13/2026","1,990.00","1,985.00","1,995.00","1,975.00","31.18M","-0.50%"
"04/10/2026","2,000.00","1,975.00","2,000.00","1,970.00","32.37M","2.30%"
"04/09/2026","1,955.00","1,945.00","1,955.00","1,930.00","34.08M","0.26%"
"04/08/2026","1,950.00","1,935.00","1,950.00","1,925.00","53.15M","4.84%"
"04/07/2026","1,860.00","1,850.00","1,860.00","1,835.00","19.71M","2.76%"
"04/02/2026","1,810.00","1,865.00","1,865.00","1,805.00","28.39M","-2.43%"
"04/01/2026","1,855.00","1,840.00","1,855.00","1,830.00","38.17M","5.40%"
"03/31/2026","1,760.00","1,775.00","1,790.00","1,760.00","58.39M","-1.12%"
"03/30/2026","1,780.00","1,780.00","1,800.00","1,780.00","45.90M","-2.20%"
"03/27/2026","1,820.00","1,805.00","1,825.00","1,800.00","32.17M","-1.09%"
"03/26/2026","1,840.00","1,850.00","1,865.00","1,840.00","22.29M","-0.27%"
"03/25/2026","1,845.00","1,865.00","1,875.00","1,845.00","43.09M","1.93%"
"03/24/2026","1,810.00","1,850.00","1,850.00","1,800.00","29.07M","0.00%"
"03/23/2026","1,810.00","1,790.00","1,815.00","1,785.00","41.95M","-1.63%"
"03/20/2026","1,840.00","1,860.00","1,870.00","1,840.00","49.84M","-0.54%"
"03/19/2026","1,850.00","1,875.00","1,880.00","1,850.00","38.56M","-2.89%"
"03/18/2026","1,905.00","1,900.00","1,910.00","1,890.00","24.77M","1.87%"
"03/17/2026","1,870.00","1,875.00","1,880.00","1,860.00","25.25M","1.36%"
"03/16/2026","1,845.00","1,875.00","1,880.00","1,845.00","35.02M","-1.07%"
"03/13/2026","1,865.00","1,840.00","1,885.00","1,840.00","35.26M","-1.06%"
"03/12/2026","1,885.00","1,900.00","1,915.00","1,885.00","38.51M","-2.84%"
"03/11/2026","1,940.00","1,885.00","1,950.00","1,875.00","38.85M","4.86%"
"03/10/2026","1,850.00","1,870.00","1,890.00","1,830.00","45.81M","2.21%"
"03/09/2026","1,810.00","1,775.00","1,810.00","1,770.00","93.45M","-4.23%"
"03/06/2026","1,890.00","1,880.00","1,900.00","1,880.00","33.80M","-0.53%"
"03/05/2026","1,900.00","1,940.00","1,960.00","1,895.00","52.73M","1.88%"
"03/04/2026","1,865.00","1,895.00","1,910.00","1,865.00","82.78M","-3.62%"
"03/03/2026","1,935.00","1,970.00","1,980.00","1,935.00","52.45M","-2.03%"
"03/02/2026","1,975.00","1,940.00","1,995.00","1,940.00","54.77M","-1.00%"
"02/26/2026","1,995.00","2,000.00","2,010.00","1,995.00","62.93M","-0.99%"
"02/25/2026","2,015.00","1,995.00","2,025.00","1,995.00","43.54M","2.54%"
"02/24/2026","1,965.00","1,915.00","1,975.00","1,915.00","42.88M","3.42%"
"02/23/2026","1,900.00","1,900.00","1,935.00","1,900.00","74.11M","-0.78%"
"02/11/2026","1,915.00","1,880.00","1,925.00","1,875.00","43.64M","1.86%"
"02/10/2026","1,880.00","1,845.00","1,880.00","1,840.00","44.42M","3.58%"
"02/09/2026","1,815.00","1,830.00","1,835.00","1,815.00","38.43M","1.97%"
"02/06/2026","1,780.00","1,745.00","1,780.00","1,740.00","35.47M","0.85%"
"02/05/2026","1,765.00","1,765.00","1,780.00","1,760.00","28.44M","-1.12%"
"02/04/2026","1,785.00","1,785.00","1,805.00","1,775.00","28.79M","-0.83%"
"02/03/2026","1,800.00","1,810.00","1,810.00","1,785.00","27.91M","1.98%"
"02/02/2026","1,765.00","1,750.00","1,765.00","1,745.00","32.97M","-0.56%"
"01/30/2026","1,775.00","1,790.00","1,800.00","1,775.00","43.81M","-1.66%"
"01/29/2026","1,805.00","1,830.00","1,835.00","1,800.00","34.40M","-0.82%"
"01/28/2026","1,820.00","1,790.00","1,820.00","1,790.00","30.92M","2.25%"
"01/27/2026","1,780.00","1,760.00","1,785.00","1,755.00","30.22M","1.42%"
"01/26/2026","1,755.00","1,765.00","1,785.00","1,755.00","25.19M","-0.85%"
"01/23/2026","1,770.00","1,770.00","1,775.00","1,750.00","28.71M","0.57%"
"01/22/2026","1,760.00","1,765.00","1,770.00","1,750.00","33.70M","1.15%"
"01/21/2026","1,740.00","1,745.00","1,765.00","1,740.00","49.41M","-1.97%"
"01/20/2026","1,775.00","1,740.00","1,775.00","1,740.00","31.03M","0.85%"
"01/19/2026","1,760.00","1,725.00","1,780.00","1,725.00","31.66M","1.15%"
"01/16/2026","1,740.00","1,735.00","1,750.00","1,710.00","56.46M","2.96%"
"01/15/2026","1,690.00","1,685.00","1,700.00","1,680.00","39.16M","-1.17%"
"01/14/2026","1,710.00","1,705.00","1,715.00","1,700.00","30.66M","0.00%"
"01/13/2026","1,710.00","1,720.00","1,720.00","1,700.00","31.75M","1.18%"
"01/12/2026","1,690.00","1,700.00","1,705.00","1,690.00","31.33M","0.60%"
"01/09/2026","1,680.00","1,665.00","1,700.00","1,655.00","39.49M","-0.30%"
"01/08/2026","1,685.00","1,660.00","1,700.00","1,655.00","30.57M","0.60%"
"01/07/2026","1,675.00","1,665.00","1,685.00","1,665.00","53.46M","-1.76%"
"01/06/2026","1,705.00","1,645.00","1,705.00","1,645.00","48.73M","2.10%"
"01/05/2026","1,670.00","1,630.00","1,695.00","1,625.00","70.79M","5.36%"
"01/02/2026","1,585.00","1,555.00","1,585.00","1,545.00","39.31M","2.26%"
"12/31/2025","1,550.00","1,520.00","1,550.00","1,515.00","31.28M","1.97%"
"12/30/2025","1,520.00","1,515.00","1,530.00","1,510.00","21.28M","-0.65%"
"12/29/2025","1,530.00","1,515.00","1,530.00","1,510.00","23.39M","1.32%"
"12/26/2025","1,510.00","1,505.00","1,510.00","1,495.00","20.79M","1.00%"
"12/24/2025","1,495.00","1,495.00","1,500.00","1,485.00","13.71M","0.34%"
"12/23/2025","1,490.00","1,475.00","1,490.00","1,470.00","22.21M","1.71%"
"12/22/2025","1,465.00","1,465.00","1,470.00","1,455.00","23.46M","2.45%"
"12/19/2025","1,430.00","1,455.00","1,455.00","1,430.00","39.68M","0.00%"
"12/18/2025","1,430.00","1,420.00","1,435.00","1,415.00","31.97M","0.00%"
"12/17/2025","1,430.00","1,435.00","1,445.00","1,425.00","32.22M","-0.35%"
"12/16/2025","1,435.00","1,435.00","1,445.00","1,425.00","35.91M","-1.03%"
"12/15/2025","1,450.00","1,450.00","1,455.00","1,445.00","27.82M","-2.03%"
"12/12/2025","1,480.00","1,475.00","1,485.00","1,470.00","22.91M","0.68%"
"12/11/2025","1,470.00","1,510.00","1,515.00","1,465.00","31.02M","-2.33%"
"12/10/2025","1,505.00","1,490.00","1,505.00","1,485.00","24.91M","1.69%"
